"","fake_norm_red_lines_senti.domain_rank","fake_norm_red_lines_senti.spam_score","fake_norm_red_lines_senti.comments","fake_norm_red_lines_senti.type","fake_norm_red_lines_senti.Sentiment","obj","pos","neg"
"1",0.260328945,0,0,"bias","obj",1,0,0
"2",0.260328945,0,0,"bias","neg",0,0,1
"3",0.260328945,0,0,"bias","pos",0,1,0
"4",0.260328945,0.068,0,"bias","pos",0,1,0
"5",0.260328945,0.865,0,"bias","pos",0,1,0
"6",0.260328945,0,0,"bias","obj",1,0,0
"7",0.260328945,0.701,0,"bias","pos",0,1,0
"8",0.260328945,0.188,0,"bias","neg",0,0,1
"9",0.260328945,0.144,0,"bias","pos",0,1,0
"10",0.260328945,0.995,0,"bias","pos",0,1,0
"11",0.260328945,0,0,"bias","pos",0,1,0
"12",0.260328945,0.998,0,"bias","pos",0,1,0
"13",0.260328945,0,0,"bias","pos",0,1,0
"14",0.260328945,0.001,0,"bias","obj",1,0,0
"15",0.260328945,0,0,"bias","obj",1,0,0
"16",0.260328945,0,0,"bias","obj",1,0,0
"17",0.260328945,0.268,0,"bias","pos",0,1,0
"18",0.260328945,0,0,"bias","neg",0,0,1
"19",0.260328945,0,0,"bias","pos",0,1,0
"20",0.260328945,0,0,"bias","pos",0,1,0
"21",0.260328945,0.19,0,"bias","pos",0,1,0
"22",0.260328945,0,0,"bias","obj",1,0,0
"23",0.260328945,0,0,"bias","pos",0,1,0
"24",0.260328945,0,0,"bias","pos",0,1,0
"25",0.260328945,0,0,"bias","obj",1,0,0
"26",0.260328945,0,0,"bias","neg",0,0,1
"27",0.260328945,0,0,"bias","pos",0,1,0
"28",0.260328945,0.256,0,"bias","neg",0,0,1
"29",0.260328945,0,0,"bias","pos",0,1,0
"30",0.260328945,0,0,"bias","pos",0,1,0
"31",0.260328945,0,0,"bias","obj",1,0,0
"32",0.260328945,0,0,"bias","obj",1,0,0
"33",0.260328945,0,0,"bias","pos",0,1,0
"34",0.659491888,0,0,"fake","pos",0,1,0
"35",0.659491888,0.009,0,"fake","pos",0,1,0
"36",0.187810983,0,0,"bs","pos",0,1,0
"37",0.187810983,0,0,"bs","pos",0,1,0
"38",0.187810983,0,0,"bs","pos",0,1,0
"39",0.187810983,0,0,"bs","pos",0,1,0
"40",0.187810983,0,0,"bs","pos",0,1,0
"41",0.187810983,0,0,"bs","pos",0,1,0
"42",0.187810983,0,0,"bs","pos",0,1,0
"43",0.187810983,0,0,"bs","neg",0,0,1
"44",0.187810983,0,0,"bs","pos",0,1,0
"45",0.187810983,0,0,"bs","pos",0,1,0
"46",0.187810983,0,0,"bs","pos",0,1,0
"47",0.187810983,0,0,"bs","pos",0,1,0
"48",0.187810983,0,0,"bs","neg",0,0,1
"49",0.187810983,0,0,"bs","pos",0,1,0
"50",0.187810983,0,0,"bs","pos",0,1,0
"51",0.187810983,0,0,"bs","neg",0,0,1
"52",0.187810983,0,0,"bs","pos",0,1,0
"53",0.187810983,0,0,"bs","pos",0,1,0
"54",0.187810983,0,0,"bs","pos",0,1,0
"55",0.187810983,0,0,"bs","pos",0,1,0
"56",0.187810983,0,0,"bs","pos",0,1,0
"57",0.187810983,0,0,"bs","pos",0,1,0
"58",0.187810983,0,0,"bs","pos",0,1,0
"59",0.187810983,0,0,"bs","pos",0,1,0
"60",0.187810983,0,0,"bs","pos",0,1,0
"61",0.187810983,0,0,"bs","pos",0,1,0
"62",0.187810983,0,0,"bs","pos",0,1,0
"63",0.187810983,0,0,"bs","pos",0,1,0
"64",0.187810983,0,0,"bs","neg",0,0,1
"65",0.187810983,0,0,"bs","neg",0,0,1
"66",0.187810983,0,0,"bs","pos",0,1,0
"67",0.187810983,0,0,"bs","pos",0,1,0
"68",0.187810983,0,0,"bs","neg",0,0,1
"69",0.187810983,0,0,"bs","pos",0,1,0
"70",0.187810983,0,0,"bs","pos",0,1,0
"71",0.187810983,0,0,"bs","pos",0,1,0
"72",0.187810983,0,0,"bs","pos",0,1,0
"73",0.187810983,0,0,"bs","pos",0,1,0
"74",0.187810983,0,0,"bs","pos",0,1,0
"75",0.187810983,0,0,"bs","pos",0,1,0
"76",0.187810983,0,0,"bs","pos",0,1,0
"77",0.187810983,0,0,"bs","pos",0,1,0
"78",0.187810983,0,0,"bs","pos",0,1,0
"79",0.187810983,0,0,"bs","obj",1,0,0
"80",0.187810983,0,0,"bs","pos",0,1,0
"81",0.187810983,0,0,"bs","pos",0,1,0
"82",0.187810983,0,0,"bs","neg",0,0,1
"83",0.187810983,0,0,"bs","pos",0,1,0
"84",0.187810983,0,0,"bs","obj",1,0,0
"85",0.187810983,0,0,"bs","obj",1,0,0
"86",0.187810983,0,0,"bs","pos",0,1,0
"87",0.187810983,0,0,"bs","obj",1,0,0
"88",0.187810983,0,0,"bs","pos",0,1,0
"89",0.187810983,0,0,"bs","pos",0,1,0
"90",0.187810983,0,0,"bs","neg",0,0,1
"91",0.187810983,0,0,"bs","obj",1,0,0
"92",0.187810983,0,0,"bs","obj",1,0,0
"93",0.187810983,0,0,"bs","obj",1,0,0
"94",0.187810983,0,0,"bs","neg",0,0,1
"95",0.187810983,0,0,"bs","obj",1,0,0
"96",0.187810983,0,0,"bs","neg",0,0,1
"97",0.187810983,0,0,"bs","obj",1,0,0
"98",0.187810983,0,0,"bs","obj",1,0,0
"99",0.187810983,0,0,"bs","obj",1,0,0
"100",0.187810983,0,0,"bs","obj",1,0,0
"101",0.187810983,0,0,"bs","pos",0,1,0
"102",0.187810983,0,0,"bs","neg",0,0,1
"103",0.187810983,0,0,"bs","obj",1,0,0
"104",0.187810983,0,0,"bs","obj",1,0,0
"105",0.187810983,0,0,"bs","obj",1,0,0
"106",0.187810983,0,0,"bs","pos",0,1,0
"107",0.187810983,0,0,"bs","pos",0,1,0
"108",0.187810983,0,0,"bs","pos",0,1,0
"109",0.187810983,0,0,"bs","pos",0,1,0
"110",0.187810983,0,0,"bs","pos",0,1,0
"111",0.187810983,0,0,"bs","pos",0,1,0
"112",0.187810983,0,0,"bs","pos",0,1,0
"113",0.187810983,0,0,"bs","pos",0,1,0
"114",0.187810983,0,0,"bs","pos",0,1,0
"115",0.187810983,0,0,"bs","pos",0,1,0
"116",0.187810983,0,0,"bs","pos",0,1,0
"117",0.187810983,0,0,"bs","pos",0,1,0
"118",0.187810983,0,0,"bs","pos",0,1,0
"119",0.187810983,0,0,"bs","obj",1,0,0
"120",0.187810983,0,0,"bs","obj",1,0,0
"121",0.187810983,0,0,"bs","obj",1,0,0
"122",0.187810983,0,0,"bs","pos",0,1,0
"123",0.187810983,0,0,"bs","pos",0,1,0
"124",0.187810983,0,0,"bs","obj",1,0,0
"125",0.187810983,0,0,"bs","obj",1,0,0
"126",0.187810983,0,0,"bs","pos",0,1,0
"127",0.187810983,0,0,"bs","pos",0,1,0
"128",0.187810983,0,0,"bs","pos",0,1,0
"129",0.187810983,0,0,"bs","pos",0,1,0
"130",0.187810983,0,0,"bs","pos",0,1,0
"131",0.187810983,0,0,"bs","pos",0,1,0
"132",0.187810983,0,0,"bs","obj",1,0,0
"133",0.187810983,0,0,"bs","obj",1,0,0
"134",0.187810983,0,0,"bs","pos",0,1,0
"135",0.187810983,0,0,"bs","neg",0,0,1
"136",0.376584684,0,0,"conspiracy","obj",1,0,0
"137",0.376584684,0,0,"conspiracy","pos",0,1,0
"138",0.376584684,0,0,"conspiracy","obj",1,0,0
"139",0.376584684,0,0,"conspiracy","obj",1,0,0
"140",0.376584684,0,0,"conspiracy","pos",0,1,0
"141",0.376584684,0,0,"conspiracy","pos",0,1,0
"142",0.376584684,0,0,"conspiracy","pos",0,1,0
"143",0.376584684,0,0,"conspiracy","obj",1,0,0
"144",0.376584684,0,0,"conspiracy","pos",0,1,0
"145",0.376584684,0,0,"conspiracy","pos",0,1,0
"146",0.376584684,0,0,"conspiracy","neg",0,0,1
"147",0.376584684,0,0,"conspiracy","obj",1,0,0
"148",0.376584684,0,0,"conspiracy","obj",1,0,0
"149",0.376584684,0,0,"conspiracy","pos",0,1,0
"150",0.376584684,0,0,"conspiracy","obj",1,0,0
"151",0.376584684,0,0,"conspiracy","neg",0,0,1
"152",0.376584684,0,0,"conspiracy","obj",1,0,0
"153",0.376584684,0,0,"conspiracy","neg",0,0,1
"154",0.376584684,0,0,"conspiracy","obj",1,0,0
"155",0.376584684,0,0,"conspiracy","obj",1,0,0
"156",0.376584684,0,0,"conspiracy","obj",1,0,0
"157",0.376584684,0,0,"conspiracy","pos",0,1,0
"158",0.376584684,0,0,"conspiracy","obj",1,0,0
"159",0.376584684,0,0,"conspiracy","pos",0,1,0
"160",0.376584684,0,0,"conspiracy","pos",0,1,0
"161",0.376584684,0,0,"conspiracy","neg",0,0,1
"162",0.376584684,0,0,"conspiracy","pos",0,1,0
"163",0.376584684,0,0,"conspiracy","pos",0,1,0
"164",0.376584684,0,0,"conspiracy","pos",0,1,0
"165",0.376584684,0,0,"conspiracy","pos",0,1,0
"166",0.376584684,0,0,"conspiracy","neg",0,0,1
"167",0.376584684,0,0,"conspiracy","pos",0,1,0
"168",0.376584684,0,0,"conspiracy","pos",0,1,0
"169",0.376584684,0,0,"conspiracy","pos",0,1,0
"170",0.376584684,0,0,"conspiracy","pos",0,1,0
"171",0.376584684,0,0,"conspiracy","pos",0,1,0
"172",0.376584684,0,0,"conspiracy","pos",0,1,0
"173",0.376584684,0,0,"conspiracy","pos",0,1,0
"174",0.376584684,0,0,"conspiracy","pos",0,1,0
"175",0.376584684,0,0,"conspiracy","neg",0,0,1
"176",0.376584684,0,0,"conspiracy","pos",0,1,0
"177",0.376584684,0,0,"conspiracy","pos",0,1,0
"178",0.376584684,0,0,"conspiracy","pos",0,1,0
"179",0.376584684,0,0,"conspiracy","pos",0,1,0
"180",0.376584684,0,0,"conspiracy","pos",0,1,0
"181",0.376584684,0,0,"conspiracy","obj",1,0,0
"182",0.376584684,0,0,"conspiracy","pos",0,1,0
"183",0.376584684,0,0,"conspiracy","pos",0,1,0
"184",0.376584684,0,0,"conspiracy","pos",0,1,0
"185",0.376584684,0,0,"conspiracy","pos",0,1,0
"186",0.376584684,0,0,"conspiracy","pos",0,1,0
"187",0.376584684,0,0,"conspiracy","pos",0,1,0
"188",0.376584684,0,0,"conspiracy","pos",0,1,0
"189",0.376584684,0,0,"conspiracy","pos",0,1,0
"190",0.376584684,0,0,"conspiracy","pos",0,1,0
"191",0.376584684,0,0,"conspiracy","pos",0,1,0
"192",0.376584684,0,0,"conspiracy","pos",0,1,0
"193",0.376584684,0,0,"conspiracy","pos",0,1,0
"194",0.376584684,0,0,"conspiracy","pos",0,1,0
"195",0.376584684,0,0,"conspiracy","pos",0,1,0
"196",0.376584684,0,0,"conspiracy","pos",0,1,0
"197",0.376584684,0,0,"conspiracy","pos",0,1,0
"198",0.376584684,0,0,"conspiracy","pos",0,1,0
"199",0.376584684,0,0,"conspiracy","pos",0,1,0
"200",0.376584684,0,0,"conspiracy","pos",0,1,0
"201",0.376584684,0,0,"conspiracy","pos",0,1,0
"202",0.376584684,0,0,"conspiracy","neg",0,0,1
"203",0.376584684,0,0,"conspiracy","pos",0,1,0
"204",0.376584684,0,0,"conspiracy","pos",0,1,0
"205",0.376584684,0,0,"conspiracy","pos",0,1,0
"206",0.376584684,0,0,"conspiracy","pos",0,1,0
"207",0.376584684,0,0,"conspiracy","pos",0,1,0
"208",0.376584684,0,0,"conspiracy","pos",0,1,0
"209",0.376584684,0.029,0,"conspiracy","pos",0,1,0
"210",0.376584684,0,0,"conspiracy","pos",0,1,0
"211",0.376584684,0,0,"conspiracy","pos",0,1,0
"212",0.376584684,0,0,"conspiracy","neg",0,0,1
"213",0.376584684,0,0,"conspiracy","pos",0,1,0
"214",0.376584684,0,0,"conspiracy","pos",0,1,0
"215",0.376584684,0,0,"conspiracy","pos",0,1,0
"216",0.376584684,0,0,"conspiracy","pos",0,1,0
"217",0.376584684,0,0,"conspiracy","pos",0,1,0
"218",0.376584684,0,0,"conspiracy","pos",0,1,0
"219",0.376584684,0,0,"conspiracy","pos",0,1,0
"220",0.376584684,0,0,"conspiracy","pos",0,1,0
"221",0.376584684,0,0,"conspiracy","pos",0,1,0
"222",0.376584684,0,0,"conspiracy","pos",0,1,0
"223",0.376584684,0,0,"conspiracy","pos",0,1,0
"224",0.376584684,0,0,"conspiracy","pos",0,1,0
"225",0.376584684,0,0,"conspiracy","pos",0,1,0
"226",0.376584684,0,0,"conspiracy","pos",0,1,0
"227",0.376584684,0,0,"conspiracy","pos",0,1,0
"228",0.376584684,0,0,"conspiracy","obj",1,0,0
"229",0.376584684,0,0,"conspiracy","pos",0,1,0
"230",0.376584684,0,0,"conspiracy","pos",0,1,0
"231",0.376584684,0,0,"conspiracy","neg",0,0,1
"232",0.376584684,0,0,"conspiracy","pos",0,1,0
"233",0.376584684,0,0,"conspiracy","pos",0,1,0
"234",0.376584684,0,0,"conspiracy","obj",1,0,0
"235",0.376584684,0,0,"conspiracy","pos",0,1,0
"236",0.058492688,0.096,0,"bias","neg",0,0,1
"237",0.058492688,0,0,"bias","pos",0,1,0
"238",0.058492688,0,0,"bias","neg",0,0,1
"239",0.058492688,0.033,0,"bias","pos",0,1,0
"240",0.058492688,0.001,0,"bias","neg",0,0,1
"241",0.058492688,0.02,0,"bias","pos",0,1,0
"242",0.058492688,0.039,0,"bias","pos",0,1,0
"243",0.058492688,0,1,"bias","pos",0,1,0
"244",0.058492688,0,0,"bias","pos",0,1,0
"245",0.058492688,0.435,0,"bias","pos",0,1,0
"246",0.058492688,0,0,"bias","neg",0,0,1
"247",0.058492688,0,0,"bias","pos",0,1,0
"248",0.058492688,0,0,"bias","pos",0,1,0
"249",0.058492688,0,0,"bias","pos",0,1,0
"250",0.058492688,0,0,"bias","neg",0,0,1
"251",0.058492688,0,0,"bias","pos",0,1,0
"252",0.058492688,0,0,"bias","pos",0,1,0
"253",0.058492688,0,0,"bias","pos",0,1,0
"254",0.058492688,0,0,"bias","pos",0,1,0
"255",0.058492688,0,0,"bias","pos",0,1,0
"256",0.794424346,0,0,"bs","pos",0,1,0
"257",0.261879427,0.008,0,"bs","pos",0,1,0
"258",0.261879427,0.012,0,"bs","pos",0,1,0
"259",0.037839865,0.052,0,"bs","obj",1,0,0
"260",0.037839865,0.059,0,"bs","pos",0,1,0
"261",0.037839865,0.109,0,"bs","neg",0,0,1
"262",0.95504616,0,0,"bs","pos",0,1,0
"263",0.95504616,0,0,"bs","pos",0,1,0
"264",0.95504616,0,0,"bs","obj",1,0,0
"265",0.95504616,0,0,"bs","obj",1,0,0
"266",0.95504616,0,0,"bs","obj",1,0,0
"267",0.95504616,0,0,"bs","obj",1,0,0
"268",0.95504616,0,0,"bs","neg",0,0,1
"269",0.95504616,0,0,"bs","neg",0,0,1
"270",0.95504616,0,0,"bs","pos",0,1,0
"271",0.95504616,0,0,"bs","obj",1,0,0
"272",0.95504616,0,0,"bs","obj",1,0,0
"273",0.95504616,0,0,"bs","pos",0,1,0
"274",0.95504616,0,0,"bs","neg",0,0,1
"275",0.95504616,0,0,"bs","obj",1,0,0
"276",0.95504616,0,0,"bs","neg",0,0,1
"277",0.95504616,0,0,"bs","neg",0,0,1
"278",0.95504616,0,0,"bs","obj",1,0,0
"279",0.95504616,0,0,"bs","obj",1,0,0
"280",0.95504616,0,0,"bs","obj",1,0,0
"281",0.95504616,0,0,"bs","obj",1,0,0
"282",0.95504616,0,0,"bs","pos",0,1,0
"283",0.95504616,0,0,"bs","obj",1,0,0
"284",0.95504616,0,0,"bs","obj",1,0,0
"285",0.95504616,0,0,"bs","pos",0,1,0
"286",0.95504616,0,0,"bs","obj",1,0,0
"287",0.95504616,0,0,"bs","pos",0,1,0
"288",0.95504616,0,0,"bs","pos",0,1,0
"289",0.95504616,0,0,"bs","obj",1,0,0
"290",0.95504616,0,0,"bs","pos",0,1,0
"291",0.95504616,0,0,"bs","pos",0,1,0
"292",0.95504616,0,0,"bs","obj",1,0,0
"293",0.95504616,0,0,"bs","obj",1,0,0
"294",0.95504616,0,0,"bs","pos",0,1,0
"295",0.95504616,0,0,"bs","obj",1,0,0
"296",0.95504616,0,0,"bs","obj",1,0,0
"297",0.95504616,0,0,"bs","obj",1,0,0
"298",0.95504616,0,0,"bs","obj",1,0,0
"299",0.95504616,0,0,"bs","obj",1,0,0
"300",0.95504616,0,0,"bs","obj",1,0,0
"301",0.95504616,0,0,"bs","obj",1,0,0
"302",0.95504616,0,0,"bs","obj",1,0,0
"303",0.95504616,0,0,"bs","pos",0,1,0
"304",0.95504616,0,0,"bs","neg",0,0,1
"305",0.95504616,0,0,"bs","obj",1,0,0
"306",0.95504616,0,0,"bs","obj",1,0,0
"307",0.95504616,0,0,"bs","obj",1,0,0
"308",0.95504616,0,0,"bs","pos",0,1,0
"309",0.95504616,0,0,"bs","pos",0,1,0
"310",0.95504616,0,0,"bs","obj",1,0,0
"311",0.95504616,0,0,"bs","pos",0,1,0
"312",0.95504616,0,0,"bs","neg",0,0,1
"313",0.95504616,0,0,"bs","obj",1,0,0
"314",0.95504616,0,0,"bs","obj",1,0,0
"315",0.95504616,0,0,"bs","obj",1,0,0
"316",0.95504616,0,0,"bs","obj",1,0,0
"317",0.95504616,0,0,"bs","pos",0,1,0
"318",0.95504616,0,0,"bs","obj",1,0,0
"319",0.95504616,0,0,"bs","obj",1,0,0
"320",0.95504616,0,0,"bs","obj",1,0,0
"321",0.95504616,0,0,"bs","obj",1,0,0
"322",0.95504616,0,0,"bs","neg",0,0,1
"323",0.95504616,0,0,"bs","obj",1,0,0
"324",0.95504616,0,0,"bs","obj",1,0,0
"325",0.95504616,0,0,"bs","obj",1,0,0
"326",0.95504616,0,0,"bs","obj",1,0,0
"327",0.95504616,0,0,"bs","obj",1,0,0
"328",0.95504616,0,0,"bs","obj",1,0,0
"329",0.95504616,0,0,"bs","obj",1,0,0
"330",0.95504616,0,0,"bs","obj",1,0,0
"331",0.95504616,0,0,"bs","pos",0,1,0
"332",0.95504616,0,0,"bs","pos",0,1,0
"333",0.95504616,0,0,"bs","obj",1,0,0
"334",0.95504616,0,0,"bs","obj",1,0,0
"335",0.95504616,0,0,"bs","obj",1,0,0
"336",0.95504616,0,0,"bs","pos",0,1,0
"337",0.95504616,0,0,"bs","obj",1,0,0
"338",0.95504616,0,0,"bs","pos",0,1,0
"339",0.95504616,0,0,"bs","obj",1,0,0
"340",0.95504616,0,0,"bs","obj",1,0,0
"341",0.95504616,0,0,"bs","obj",1,0,0
"342",0.95504616,0,0,"bs","obj",1,0,0
"343",0.95504616,0,0,"bs","obj",1,0,0
"344",0.95504616,0,0,"bs","obj",1,0,0
"345",0.95504616,0,0,"bs","pos",0,1,0
"346",0.95504616,0,0,"bs","pos",0,1,0
